pl_name,hostname,pl_rade,pl_masse,pl_dens,pl_orbsmax,pl_orbper,st_mass,st_teff,st_rad,st_lum,pl_orbeccen,sy_dist,glon,glat,planet_type,hz_start_con,hz_end_con,hz_start_opt,hz_end_opt,in_hz,hz_dist,X_gal,Y_gal,Z_gal,pl_seff
55 Cnc e,55 Cnc,1.875,7.99,6.66,0.01544,0.7365474,0.905,5172.0,0.943,-0.24405390337403365,0.05,12.5855,196.79526,37.69663,Super-Earth,0.5806485881947038,1.4121517844422458,0.7635164875406117,1.3579025220049847,Too_hot,0.7480764875406117,-9.533605159893403,-2.877504525463732,7.6957878486344455,2391.39603384122
BD+20 594 b,BD+20 594,2.57807,22.2481,7.1593826369769875,0.2791525077830747,41.6855,1.67,5766.0,1.08,0.06263470950053909,0.0,179.461,166.7966,-28.05348,Mega-Earth,0.8070987834265151,1.90850724021159,1.0491977349949342,1.8352111142894194,Too_hot,0.7700452272118594,-154.1893354378369,36.17443539812218,-84.39970131383939,14.823530185511622
BD-14 3065 b,BD-14 3065 A,21.59,3932.0,2.15,0.0656,4.2889731,1.41,6935.0,2.35,1.06,0.066,589.423,256.57364,32.77156,Icy-Solid,2.4384848278822675,5.513108843234895,3.0814951720772537,5.301468391454427,Too_hot,3.0158951720772538,-115.0778434279126,-482.06233965223436,319.04931212901033,2668.0399071815573
CoRoT-1 b,CoRoT-1,16.7,327.35,0.38,0.025310743052468845,1.5089557,0.95,5950.0,1.11,0.14100246680539683,0.0,787.909,215.33882,-2.10712,Gas-giant,0.8768048425745827,2.0563465587325034,1.1349470507340993,1.9773790197216519,Too_hot,1.1096363076816305,-642.2989273479769,-455.42665007675237,-28.96975333870996,2159.696262842299
CoRoT-10 b,CoRoT-10,10.87,874.0,3.7,0.1055,13.2406,0.89,5075.0,0.79,-0.4307129847602313,0.53,338.386,37.36069,-6.95299,Mega-Earth,0.47013087048046476,1.1487538382350135,0.619068384954174,1.1046210476544296,Too_hot,0.513568384954174,266.98175133949616,203.83286727718556,-40.963296562370694,33.32591605016945
CoRoT-11 b,CoRoT-11,16.03,740.51,0.99,0.0436,2.99433,1.27,6440.0,1.37,0.4612732500699457,0.0,655.037,37.24009,4.63005,Gas-giant,1.2441364661744023,2.8598776651816977,1.5910231010574731,2.750073931344632,Too_hot,1.547423101057473,519.7775793884838,395.1061882401847,52.87569714301948,1521.5992009641404
CoRoT-12 b,CoRoT-12,16.14,291.438,0.411,0.04016,2.828042,1.078,5675.0,1.116,0.06348049898164515,0.07,1126.37,213.13155,-2.45441,Gas-giant,0.8108596715383123,1.925424354477169,1.0562128534182393,1.8514754624961245,Too_hot,1.0160528534182394,-942.3770568261732,-615.0675837725041,-48.236159257273435,717.6176152178156
CoRoT-13 b,CoRoT-13,9.92,415.704,2.34,0.051,4.03519,1.09,5945.0,1.01,0.057538829702010325,0.0,1148.93,217.3986,-2.43966,Icy-Solid,0.7966319344769284,1.8687291142841134,1.0312932732470925,1.7969662823851678,Too_hot,0.9802932732470925,-911.9165340644516,-697.1775293505759,-48.90677221514932,438.93324677617096
CoRoT-14 b,CoRoT-14,12.22,2415.4,7.3,0.027,1.51214,1.13,6035.0,1.21,0.24056848468425612,0.0,1744.6,218.11787,-2.02059,Mega-Earth,0.9799880297973222,2.289875463690158,1.2659117714698365,2.2019431043265727,Too_hot,1.2389117714698366,-1371.6976050315209,-1076.2393260717436,-61.51222128511574,2386.936999057393
CoRoT-16 b,CoRoT-16,13.11,170.032,0.44,0.0618,5.35227,1.098,5650.0,1.19,0.11157636038069939,0.33,732.409,25.61433,1.1011,Gas-giant,0.8578916857883339,2.0394644046472106,1.1180795066168956,1.9611347219060336,Too_hot,1.0562795066168955,660.3091358797667,316.57021107954046,14.07443823997886,338.5317530694137
CoRoT-17 b,CoRoT-17,11.43,772.29,2.82,0.0461,3.7681,1.04,5740.0,1.59,0.3907304645506809,0.0,1176.12,25.15299,0.66631,Icy-Solid,1.1787732488300218,2.790697326271737,1.5332545410588865,2.6835194764867434,Too_hot,1.4871545410588864,1064.5237165737487,499.86042739535503,13.67714795365568,1156.9873584769832
CoRoT-18 b,CoRoT-18,14.68,1102.82,2.2,0.0295,1.9000693,0.95,5440.0,1.0,-0.1053157548893966,0.08,764.889,210.8191,-4.18491,Icy-Solid,0.6740066035344245,1.6182231729326684,0.8821820408193817,1.5560658634842943,Too_hot,0.8526820408193817,-655.126964299078,-390.83010834330094,-55.818181461225265,901.654621737839
CoRoT-19 b,CoRoT-19,14.46,352.78,0.71,0.0518,3.89713,1.21,6090.0,1.65,0.544,0.047,790.663,210.42057,-5.26125,Gas-giant,1.3867445612347709,3.2327274142686355,1.7889375824855702,3.108591855437265,Too_hot,1.7371375824855702,-678.941437216771,-398.660295729503,-72.50153796914029,1304.1888426989658
CoRoT-2 b,CoRoT-2,16.432,1102.82,1.47,0.02798,1.7429935,0.96,5625.0,0.906,-0.13296485119488974,0.0143,213.283,38.26267,-7.29102,Neptune-like,0.6480382903009552,1.5423719371960065,0.8450310249349932,1.4831333878920996,Too_hot,0.8170510249349932,166.1114793620761,131.01130300666605,-27.067563570408478,940.4587002553569
CoRoT-22 b,CoRoT-22,4.88,12.2,0.249,0.092,9.75598,1.099,5939.0,1.136,0.15789861017597048,0.077,627.158,37.48307,4.775,Gas-giant,0.8944201282990752,2.0986725101583827,1.1580521734535967,2.018079199083963,Too_hot,1.0660521734535966,495.9434075556064,380.3179870078944,52.206534307467294,169.95069912810715
